type,metric,value,seed,model
O,precision,0.6165336080350244,2021,simple
POP,precision,0.8753253796095445,2021,simple
INT,precision,0.823927392739274,2021,simple
OUT,precision,0.8101189276355574,2021,simple
accuracy,precision,0.8436582728255831,2021,simple
macro avg,precision,0.78147632700485,2021,simple
weighted avg,precision,0.8435574128408525,2021,simple
O,recall,0.6719056974459725,2021,simple
POP,recall,0.9114059853190288,2021,simple
INT,recall,0.6171817058096415,2021,simple
OUT,recall,0.8531097431543196,2021,simple
accuracy,recall,0.8436582728255831,2021,simple
macro avg,recall,0.7634007829322407,2021,simple
weighted avg,recall,0.8436582728255831,2021,simple
O,f1-score,0.6430298146655923,2021,simple
POP,f1-score,0.8930013831258645,2021,simple
INT,f1-score,0.7057243816254417,2021,simple
OUT,f1-score,0.8310587262200165,2021,simple
accuracy,f1-score,0.8436582728255831,2021,simple
macro avg,f1-score,0.7682035764092289,2021,simple
weighted avg,f1-score,0.8409093953063483,2021,simple
O,support,3563.0,2021,simple
POP,support,35420.0,2021,simple
INT,support,8090.0,2021,simple
OUT,support,4711.0,2021,simple
accuracy,support,0.8436582728255831,2021,simple
macro avg,support,51784.0,2021,simple
weighted avg,support,51784.0,2021,simple
O,precision,0.6420675231550642,2022,simple
POP,precision,0.8621407856577906,2022,simple
INT,precision,0.8263175339741465,2022,simple
OUT,precision,0.8314330427006483,2022,simple
accuracy,precision,0.8410899119419125,2022,simple
macro avg,precision,0.7904897213719124,2022,simple
weighted avg,precision,0.8386085108723551,2022,simple
O,recall,0.6031434184675835,2022,simple
POP,recall,0.9232354601919819,2022,simple
INT,recall,0.6163164400494437,2022,simple
OUT,recall,0.789428995966886,2022,simple
accuracy,recall,0.8410899119419125,2022,simple
macro avg,recall,0.7330310786689738,2022,simple
weighted avg,recall,0.8410899119419125,2022,simple
O,f1-score,0.6219971056439942,2022,simple
POP,f1-score,0.8916428084526243,2022,simple
INT,f1-score,0.7060322854715378,2022,simple
OUT,f1-score,0.8098867595818815,2022,simple
accuracy,f1-score,0.8410899119419125,2022,simple
macro avg,f1-score,0.7573897397875095,2022,simple
weighted avg,f1-score,0.8366549837142069,2022,simple
O,support,3563.0,2022,simple
POP,support,35420.0,2022,simple
INT,support,8090.0,2022,simple
OUT,support,4711.0,2022,simple
accuracy,support,0.8410899119419125,2022,simple
macro avg,support,51784.0,2022,simple
weighted avg,support,51784.0,2022,simple
O,precision,0.6493397021635291,2023,simple
POP,precision,0.8733806710390807,2023,simple
INT,precision,0.812409112942317,2023,simple
OUT,precision,0.7822109770338653,2023,simple
accuracy,precision,0.8416499304804573,2023,simple
macro avg,precision,0.779335115794698,2023,simple
weighted avg,precision,0.8401461139255904,2023,simple
O,recall,0.6486107213022734,2023,simple
POP,recall,0.9098249576510447,2023,simple
INT,recall,0.6215080346106304,2023,simple
OUT,recall,0.8531097431543196,2023,simple
accuracy,recall,0.8416499304804573,2023,simple
macro avg,recall,0.7582633641795671,2023,simple
weighted avg,recall,0.8416499304804573,2023,simple
O,f1-score,0.6489750070204998,2023,simple
POP,f1-score,0.8912303990707707,2023,simple
INT,f1-score,0.7042509979690454,2023,simple
OUT,f1-score,0.8161234643110976,2023,simple
accuracy,f1-score,0.8416499304804573,2023,simple
macro avg,f1-score,0.7651449670928535,2023,simple
weighted avg,f1-score,0.8385182083083559,2023,simple
O,support,3563.0,2023,simple
POP,support,35420.0,2023,simple
